t,s,i
0.00,600.00,50.00
0.10,597.00,51.50
0.20,593.93,53.03
0.30,590.78,54.59
0.40,587.55,56.18
0.50,584.25,57.79
0.60,580.87,59.43
0.70,577.42,61.10
0.80,573.89,62.80
0.90,570.29,64.52
1.00,566.61,66.26
1.10,562.86,68.03
1.20,559.03,69.82
1.30,555.12,71.63
1.40,551.15,73.45
1.50,547.10,75.30
1.60,542.98,77.16
1.70,538.79,79.03
1.80,534.53,80.92
1.90,530.21,82.82
2.00,525.82,84.72
2.10,521.36,86.64
2.20,516.84,88.56
2.30,512.27,90.48
2.40,507.63,92.40
2.50,502.94,94.31
2.60,498.20,96.23
2.70,493.40,98.14
2.80,488.56,100.03
2.90,483.67,101.92
3.00,478.75,103.79
3.10,473.78,105.65
3.20,468.77,107.48
3.30,463.73,109.30
3.40,458.66,111.09
3.50,453.57,112.85
3.60,448.45,114.58
3.70,443.31,116.28
3.80,438.16,117.95
3.90,432.99,119.58
4.00,427.81,121.17
4.10,422.63,122.72
4.20,417.44,124.22
4.30,412.26,125.68
4.40,407.07,127.09
4.50,401.90,128.45
4.60,396.74,129.76
4.70,391.59,131.02
4.80,386.46,132.22
4.90,381.35,133.36
5.00,376.26,134.45
5.10,371.21,135.47
5.20,366.18,136.44
5.30,361.18,137.34
5.40,356.22,138.18
5.50,351.30,138.96
5.60,346.42,139.67
5.70,341.58,140.32
5.80,336.79,140.90
5.90,332.04,141.42
6.00,327.34,141.87
6.10,322.70,142.26
6.20,318.11,142.58
6.30,313.57,142.84
6.40,309.09,143.03
6.50,304.67,143.16
6.60,300.31,143.23
6.70,296.01,143.24
6.80,291.77,143.18
6.90,287.59,143.06
7.00,283.48,142.88
7.10,279.43,142.65
7.20,275.44,142.35
7.30,271.52,142.00
7.40,267.67,141.60
7.50,263.88,141.14
7.60,260.15,140.63
7.70,256.49,140.07
7.80,252.90,139.46
7.90,249.37,138.81
8.00,245.91,138.10
8.10,242.52,137.36
8.20,239.18,136.57
8.30,235.92,135.74
8.40,232.72,134.87
8.50,229.58,133.96
8.60,226.50,133.02
8.70,223.49,132.04
8.80,220.54,131.03
8.90,217.65,129.99
9.00,214.82,128.92
9.10,212.05,127.82
9.20,209.34,126.69
9.30,206.69,125.54
9.40,204.09,124.37
9.50,201.55,123.18
9.60,199.07,121.97
9.70,196.64,120.74
9.80,194.27,119.49
9.90,191.95,118.23
10.00,189.68,116.95
10.10,187.46,115.66
10.20,185.29,114.36
10.30,183.17,113.04
10.40,181.10,111.72
10.50,179.08,110.40
10.60,177.10,109.06
10.70,175.17,107.72
10.80,173.28,106.38
10.90,171.44,105.03
11.00,169.64,103.68
11.10,167.88,102.33
11.20,166.16,100.97
11.30,164.49,99.62
11.40,162.85,98.27
11.50,161.25,96.92
